Marca,Vehiculo_por_Marcas,Modelos_por_Marca,Anio_Vehiculo
Chevrolet,213,38,2023
Kia,79,17,2023
Hyundai,58,16,2023
Toyota,58,14,2022
Nissan,48,13,2021
Ford,46,12,2021
Mazda,40,11,2022
Renault,30,6,2023
Great Wall,27,7,2022
Volkswagen,24,10,2019
Chery,20,12,2023
Peugeot,16,7,2020
Soueast,12,2,2023
Skoda,11,5,2018
JAC,10,5,2022
Mitsubishi,10,5,2021
BMW,9,5,2023
Jeep,9,4,2018
Audi,7,5,2022
Suzuki,7,2,2016
FIAT,7,5,2020
Citroën,6,4,2019
Mercedes Benz,6,4,2010
Dodge,6,2,2018
Haval,5,2,2023
JMC,5,1,2020
BYD,4,3,2018
Shineray,4,2,2022
Changan,4,2,2023
FAW,3,2,2021
Dongfeng,3,3,2022
SsangYong,2,2,2019
Lada,2,1,2004
Land Rover,2,2,2012
Honda,2,2,2009
DFSK,2,2,2023
Alfa Romeo,1,1,1966
Brilliance,1,1,2021
Changhe,1,1,2009
Domy,1,1,2018
Jetour,1,1,2022
GAC Motor,1,1,2020
Foton,1,1,2019
King Long,1,1,2020
Lifan,1,1,2010
MG,1,1,2020
UAZ,1,1,2019
